Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	48
40	27
40	21
40	17
40	15
40	13
40	12
40	11
40	10
40	10
40	9
40	9
40	8
40	8
40	8
40	8
40	7
40	7
40	7
40	7
40	6
40	6
40	6
40	6
40	6
40	5
40	5
40	5
40	5
40	5
40	5
40	5
40	5
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	4
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
40	3
Percentage of Add/Delete Operations vs Average Response Time
Add/Delete Percentage	Average Response Time (ms)
40	65
40	42
40	48
40	40
40	36
40	34
40	31
40	31
40	28
40	26
40	25
40	23
40	22
40	20
40	20
40	19
40	18
40	17
40	16
40	18
40	17
40	17
40	17
40	16
40	16
40	15
40	15
40	15
40	14
40	15
40	14
40	14
40	14
40	13
40	13
40	13
40	13
40	13
40	13
40	12
40	12
40	12
40	12
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	11
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	10
40	9
40	9
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	10
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
40	9
